tp,tn,fp,fn,p,r,a,f1
44,88,19,14,0.6984126984126984,0.7586206896551724,0.8,0.7272727272727273
45,92,15,13,0.75,0.7758620689655172,0.8303030303030303,0.7627118644067795
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
43,89,18,15,0.7049180327868853,0.7413793103448276,0.8,0.7226890756302522
45,91,16,13,0.7377049180327869,0.7758620689655172,0.8242424242424242,0.7563025210084033
44,94,13,14,0.7719298245614035,0.7586206896551724,0.8363636363636363,0.7652173913043477
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
40,96,11,18,0.7843137254901961,0.6896551724137931,0.8242424242424242,0.7339449541284404
43,92,15,15,0.7413793103448276,0.7413793103448276,0.8181818181818182,0.7413793103448276
47,90,17,11,0.734375,0.8103448275862069,0.8303030303030303,0.7704918032786885
44,90,17,14,0.7213114754098361,0.7586206896551724,0.8121212121212121,0.7394957983193277
47,89,18,11,0.7230769230769231,0.8103448275862069,0.8242424242424242,0.7642276422764227
46,94,13,12,0.7796610169491526,0.7931034482758621,0.8484848484848485,0.7863247863247863
44,92,15,14,0.7457627118644068,0.7586206896551724,0.8242424242424242,0.752136752136752
46,89,18,12,0.71875,0.7931034482758621,0.8181818181818182,0.7540983606557378
43,92,15,15,0.7413793103448276,0.7413793103448276,0.8181818181818182,0.7413793103448276
46,92,15,12,0.7540983606557377,0.7931034482758621,0.8363636363636363,0.7731092436974789
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
45,95,12,13,0.7894736842105263,0.7758620689655172,0.8484848484848485,0.7826086956521741
44,87,20,14,0.6875,0.7586206896551724,0.793939393939394,0.7213114754098361
42,89,18,16,0.7,0.7241379310344828,0.793939393939394,0.711864406779661
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
43,92,15,15,0.7413793103448276,0.7413793103448276,0.8181818181818182,0.7413793103448276
43,96,11,15,0.7962962962962963,0.7413793103448276,0.8424242424242424,0.7678571428571429
44,91,16,14,0.7333333333333333,0.7586206896551724,0.8181818181818182,0.7457627118644068
46,87,20,12,0.696969696969697,0.7931034482758621,0.806060606060606,0.7419354838709677
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
44,94,13,14,0.7719298245614035,0.7586206896551724,0.8363636363636363,0.7652173913043477
46,93,14,12,0.7666666666666667,0.7931034482758621,0.8424242424242424,0.7796610169491527
42,93,14,16,0.75,0.7241379310344828,0.8181818181818182,0.736842105263158
47,93,14,11,0.7704918032786885,0.8103448275862069,0.8484848484848485,0.7899159663865546
45,89,18,13,0.7142857142857143,0.7758620689655172,0.8121212121212121,0.7438016528925621
47,94,13,11,0.7833333333333333,0.8103448275862069,0.8545454545454545,0.7966101694915254
42,89,18,16,0.7,0.7241379310344828,0.793939393939394,0.711864406779661
42,96,11,16,0.7924528301886793,0.7241379310344828,0.8363636363636363,0.7567567567567567
45,94,13,13,0.7758620689655172,0.7758620689655172,0.8424242424242424,0.7758620689655173
44,91,16,14,0.7333333333333333,0.7586206896551724,0.8181818181818182,0.7457627118644068
41,88,19,17,0.6833333333333333,0.7068965517241379,0.7818181818181819,0.6949152542372882
44,92,15,14,0.7457627118644068,0.7586206896551724,0.8242424242424242,0.752136752136752
41,92,15,17,0.7321428571428571,0.7068965517241379,0.806060606060606,0.719298245614035
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
46,88,19,12,0.7076923076923077,0.7931034482758621,0.8121212121212121,0.7479674796747967
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
41,90,17,17,0.7068965517241379,0.7068965517241379,0.793939393939394,0.7068965517241379
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
43,87,20,15,0.6825396825396826,0.7413793103448276,0.7878787878787878,0.7107438016528926
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
41,93,14,17,0.7454545454545455,0.7068965517241379,0.8121212121212121,0.7256637168141592
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
47,90,17,11,0.734375,0.8103448275862069,0.8303030303030303,0.7704918032786885
47,93,14,11,0.7704918032786885,0.8103448275862069,0.8484848484848485,0.7899159663865546
45,96,11,13,0.8035714285714286,0.7758620689655172,0.8545454545454545,0.7894736842105263
45,90,17,13,0.7258064516129032,0.7758620689655172,0.8181818181818182,0.7500000000000001
43,92,15,15,0.7413793103448276,0.7413793103448276,0.8181818181818182,0.7413793103448276
46,90,17,12,0.7301587301587301,0.7931034482758621,0.8242424242424242,0.7603305785123967
